oracle_rank,name,oracle,direct_dependents,dependents_rank
657,notify,5.8867,264,148
658,borsh-derive-internal,5.8735,1,11797
658,borsh-schema-derive-internal,5.8735,1,11797
660,tendril,5.8695,31,863
661,rand_pcg,5.8503,66,473
662,polling,5.8396,8,2601
663,local-waker,5.8104,3,5746
664,bv,5.7972,26,980
665,ioctl-sys,5.7959,13,1689
666,tui,5.7903,235,173
667,r0,5.7450,20,1183
668,dasp_sample,5.7136,12,1807
669,pkg-config,5.7013,19,1228
670,fern,5.6964,187,218
671,deunicode,5.6879,17,1342
672,endian-type,5.6583,2,7676
672,nibble_vec,5.6583,2,7676
674,tokio-sync,5.6284,18,1287
675,xcb,5.6122,36,780
676,yaxpeax-arch,5.5927,18,1287
677,cortex-m-rt-macros,5.5331,1,11797
678,lazycell,5.5226,27,960
679,markup5ever,5.4945,18,1287
680,pom,5.4909,16,1421
681,html-escape,5.4865,48,618
682,strength_reduce,5.4443,3,5746
683,unwrap,5.4438,51,586
684,rpi_embedded,5.4242,17,1342
685,sp-std,5.4194,191,214
686,futures-executor-preview,5.3845,10,2140
687,libdbus-sys,5.3814,1,11797
688,safemem,5.3798,8,2601
689,simplelog,5.3645,242,168
690,tokio-timer,5.3556,64,489
691,html5ever,5.3455,83,405
692,raw-cpuid,5.3447,26,980
693,actix-service,5.3390,65,480
694,cortex-m-rt,5.3331,89,380
695,radix_trie,5.3245,16,1421
696,actix-codec,5.3224,32,848
697,aws-smithy-types,5.3084,324,121
698,allegro_util,5.3026,16,1421
699,native-tls,5.3005,162,247
700,pico-args,5.2944,64,489
701,match_cfg,5.2815,1,11797
702,shell-escape,5.2707,52,576
703,cstr_core,5.2569,33,825
704,bytes-utils,5.2362,6,3304
705,serial-core,5.2240,11,1945
706,hostname,5.2065,108,337
707,unicode_categories,5.1815,15,1504
708,dbus,5.1814,75,430
709,gstreamer-sys,5.1770,21,1148
710,minicbor,5.1759,28,935
711,pqcrypto-traits,5.1688,20,1183
712,inflections,5.1681,21,1148
713,actix-utils,5.1675,28,935
714,base-x,5.1384,10,2140
715,memory_units,5.1117,9,2348
716,fs_extra,5.1098,158,254
717,transpose,5.1008,11,1945
718,async-executor,5.0655,22,1099
719,libflate_lz77,5.0624,2,7676
720,peg-runtime,5.0596,2,7676
721,atom,5.0549,7,2904
722,capnp,5.0532,33,825
723,embedded-graphics-core,5.0449,8,2601
724,oauth2,5.0346,43,671
725,stringprep,5.0332,6,3304
726,generational-arena,5.0255,31,863
727,tinystr,5.0199,21,1148
728,blake2b_simd,5.0196,60,515
729,ioctl-rs,5.0102,4,4624
730,futures-io-preview,5.0072,10,2140
731,wild,5.0061,18,1287
732,linux-api,5.0000,5,3860
733,tokio-reactor,4.9837,23,1071
734,config,4.9667,255,159
735,aws-smithy-http,4.9510,326,118
736,zstd-sys,4.9476,4,4624
737,rug,4.9463,41,698
738,diff,4.9451,39,733
739,multimap,4.9252,49,605
740,ghost,4.9186,3,5746
741,const-cstr,4.9049,27,960
742,jni,4.8970,60,515
743,rusoto_credential,4.8843,44,658
744,actix-http,4.8834,82,407
745,cranelift-entity,4.8658,22,1099
746,msp430,4.8638,13,1689
747,rs-ctypes,4.8590,8,2601
748,tempdir,4.8573,184,221
749,rusoto_signature,4.8461,11,1945
750,spki,4.8376,9,2348
751,rusoto_core,4.8344,359,106
752,rgb24,4.8309,3,5746
753,difference,4.8205,47,630
754,aws-smithy-async,4.8177,310,124
754,aws-smithy-http-tower,4.8177,308,125
756,peg-macros,4.8096,1,11797
757,console_log,4.8075,34,807
758,gdk-sys,4.8033,31,863
759,aws-smithy-client,4.7933,312,123
760,sodiumoxide,4.7659,93,368
761,simple_logger,4.7559,178,228
762,aws-sigv4,4.7421,5,3860
763,aws-types,4.7407,327,117
764,async-lock,4.7353,38,754
765,zerocopy-derive,4.7328,3,5746
766,bimap,4.7322,38,754
767,oorandom,4.7163,17,1342
768,atk-sys,4.7142,8,2601
769,hash256-std-hasher,4.7131,6,3304
770,serde-xml-rs,4.7013,124,303
771,k256,4.7012,32,848
772,bigdecimal,4.7003,86,394
773,users,4.6842,112,329
774,sysinfo,4.6822,153,263
775,aws-endpoint,4.6819,306,129
775,aws-http,4.6819,307,127
775,aws-sig-auth,4.6819,308,125
778,text-size,4.6797,16,1421
779,tungstenite,4.6658,99,349
780,rlibc,4.6507,9,2348
781,bytesize,4.6499,90,375
782,pyo3-ffi,4.6467,2,7676
783,platforms,4.6216,14,1605
784,peg,4.6146,49,605
785,amplify,4.6122,65,480
786,zerocopy,4.6078,57,540
787,pyo3,4.5842,123,307
788,block-modes,4.5648,84,403
789,actix-router,4.5515,9,2348
790,try_from,4.5423,27,960
791,rustfft,4.5055,53,569
792,os_display,4.5027,3,5746
793,parking,4.4979,3,5746
794,hamming,4.4961,7,2904
795,cairo-rs,4.4952,81,410
796,azure_core,4.4930,253,162
797,actix-server,4.4906,14,1605
798,pi_slab,4.4844,9,2348
799,shared_library,4.4818,12,1807
800,net2,4.4793,97,355
801,quickcheck,4.4565,32,848
802,enum-iterator-derive,4.4521,4,4624
803,uucore_procs,4.4452,1,11797
804,dispatch,4.4366,16,1421
805,tetsy-hash-db,4.4362,33,825
806,enum-iterator,4.4321,55,557
807,dlv-list,4.4255,2,7676
808,enum-primitive-derive,4.4240,50,595
809,lyon_geom,4.4232,11,1945
810,ferris-says,4.4232,20,1183
811,arraydeque,4.4217,24,1033
812,aws-smithy-json,4.4186,288,135
