oracle_rank,name,oracle,direct_dependents,dependents_rank
362,libtsan2,19.7626,4,6533
363,libdevel-callchecker-perl,19.7432,2,11119
364,libitm1,19.6615,3,8288
364,liblsan0,19.6615,3,8288
366,libcloudproviders0,19.6542,8,3517
367,sphinx-rtd-theme-common,19.5950,389,48
368,libxcb-xinput0,19.5720,8,3517
369,libtirpc3t64,19.5544,90,294
370,at-spi2-common,19.4788,2,11119
371,binutils,19.4438,61,448
372,libgprofng0,19.3918,3,8288
373,libgudev-1.0-0,19.3897,58,479
374,gcc-13-cross-base,19.3166,124,204
375,libmodule-runtime-perl,19.2627,87,309
376,libjsr166y-java,19.1061,2,11119
377,libcore-specs-alpha-clojure,19.0907,1,16422
377,libspec-alpha-clojure,19.0907,2,11119
379,libc6-mips64-cross,19.0683,17,1702
379,libc6-mips64el-cross,19.0683,17,1702
379,libc6-mips64r6-cross,19.0683,17,1702
379,libc6-mips64r6el-cross,19.0683,17,1702
379,libc6-mipsr6-cross,19.0683,17,1702
379,libc6-mipsr6el-cross,19.0683,17,1702
385,libtirpc-common,19.0511,2,11119
386,libsodium23,19.0247,66,420
387,libc6-s390x-cross,19.0035,23,1266
388,gcc-12-cross-base,18.9674,124,204
389,libwacom9,18.8435,15,1961
390,libclojure-java,18.7573,121,210
391,libcommons-logging-java,18.5105,82,333
392,libhwasan0,18.4699,2,11119
393,libgtk-3-0t64,18.4052,975,14
394,libsamplerate0,18.3677,68,402
395,libinput-bin,18.3514,1,16422
396,libapparmor1,18.2561,35,825
397,libasm-java,18.1704,52,530
398,libdav1d7,18.0665,12,2422
399,libatk-bridge2.0-0t64,17.8975,8,3517
400,libopenjp2-7,17.8835,52,530
401,node-safe-buffer,17.8667,35,825
402,golang-github-pkg-errors-dev,17.8473,99,271
403,libjson-c5,17.8222,96,279
404,python3-certifi,17.7258,73,364
405,libgtk-3-common,17.6488,6,4529
406,libb2-1,17.4146,9,3180
407,libqt5dbus5t64,17.3688,287,70
408,python3-chardet,17.3345,50,555
409,libnl-3-200,17.2726,64,431
410,python3-urllib3,17.1660,90,294
411,python3-importlib-resources,17.1448,32,912
412,libhtml-tagset-perl,17.1447,14,2110
413,libhtml-parser-perl,17.1072,108,244
414,qt6-base-doc-dev,17.0000,17,1702
415,libatspi2.0-0t64,16.9615,13,2260
416,libc6-sparc64-cross,16.9402,20,1435
417,libapt-pkg7.0,16.8219,12,2422
418,python3-charset-normalizer,16.7810,13,2260
419,libgcc-14-dev,16.7125,21,1375
420,libc6-ppc64-cross,16.7030,22,1317
421,libequinox-common-java,16.6221,109,238
422,libmnl0,16.4716,32,912
423,libclone-perl,16.4126,56,494
424,libopengl0,16.3790,81,336
425,libqt6core6t64,16.3355,1346,10
426,python3-requests,16.2047,610,34
427,liblocale-gettext-perl,16.1661,27,1086
428,libnspr4,16.1066,46,618
429,libwacom-common,15.7551,1,16422
430,libpcap0.8t64,15.7469,152,170
431,apt,15.6854,33,880
432,libpulse0,15.6644,182,130
433,debian-archive-keyring,15.6418,8,3517
434,sqv,15.5371,1,16422
435,python3-jaraco.context,15.4963,4,6533
435,python3-jaraco.text,15.4963,2,11119
435,python3-pkg-resources,15.4963,272,77
435,python3-setuptools,15.4963,49,570
439,python3-more-itertools,15.2548,17,1702
440,python3-jaraco.functools,15.1682,5,5417
441,libqt5network5t64,15.1147,352,53
442,liblua5.4-0,15.0279,78,349
443,libparams-util-perl,14.9587,44,655
444,python3-typeguard,14.9563,3,8288
445,python3-inflect,14.9215,5,5417
446,python3-autocommand,14.8601,2,11119
447,fp-units-win-rtl-3.2.2,14.6767,12,2422
448,libsub-name-perl,14.6416,18,1589
449,libtimedate-perl,14.5549,47,605
450,tasksel,14.4362,238,84
450,tasksel-data,14.4362,1,16422
452,libasyncns0,14.3707,3,8288
453,isa-support,14.3266,5,5417
454,libboost-filesystem1.83.0,14.2699,177,136
455,libjsr305-java,14.2448,14,2110
456,libnss3,14.2441,52,530
457,xdg-utils,14.1892,57,488
458,libc6-amd64-cross,14.1574,4,6533
